product_title,product_brand,product_price,product_currency,pre_price,discount
,SKECHERS,14.57,BHD,,-21%
,Adidas,16.39,BHD,,-25%
,PUMA,8.65,BHD,,-33%
,On Running,66.59,BHD,,
,UNDER ARMOUR,13.66,BHD,,-55%
,PUMA,14.91,BHD,,-43%
,U.S. Polo Assn.,18.91,BHD,,-44%
,Adidas,24.93,BHD,,
,Adidas,19.69,BHD,,-14%
,Adidas,19.46,BHD,,-15%
,SKECHERS,18.44,BHD,,
,adidas Originals,23.11,BHD,,-15%
,New Balance,46.55,BHD,,
,Adidas,17.19,BHD,,-25%
,Nike,55.66,BHD,,
,Adidas,24.7,BHD,,-19%
,SKECHERS,12.29,BHD,,-26%
,Adidas,20.38,BHD,,
,PUMA,40.87,BHD,,
,Nike,20.26,BHD,,-34%
,Adidas,18.56,BHD,,-29%
,Nike,27.09,BHD,,-35%
,Adidas,15.37,BHD,,-41%
,Adidas,11.04,BHD,,-22%
,adidas Originals,19.58,BHD,,-14%
,Adidas,19.35,BHD,,-26%
,crocs,21.52,BHD,,
,Adidas,17.64,BHD,,-4%
,New Balance,49.97,BHD,,
,Jordan,32.44,BHD,,-49%
,PUMA,12.63,BHD,,-50%
,crocs,21.52,BHD,,
,Jordan,32.44,BHD,,-49%
,PUMA,12.63,BHD,,-50%
,U.S. Polo Assn.,22.48,BHD,,-45%
,Adidas,14.46,BHD,,-37%
,adidas Originals,17.42,BHD,,-43%
,PUMA,12.07,BHD,,-42%
,adidas Originals,15.6,BHD,,-43%
,Nike,25.95,BHD,,-59%
,Adidas,22.99,BHD,,-30%
,Nike,44.28,BHD,,
,adidas Originals,22.2,BHD,,-18%
,Adidas,16.17,BHD,,-22%
,Adidas,17.64,BHD,,-32%
,PUMA,14.57,BHD,,-47%
,Adidas,13.32,BHD,,-32%
,Adidas,19.35,BHD,,-26%
,U.S. Polo Assn.,22.48,BHD,,-45%
,Nike,44.28,BHD,,
,Nike,29.48,BHD,,
,crocs,22.31,BHD,,-27%
,Adidas,14.46,BHD,,-37%
,adidas Originals,17.42,BHD,,-43%
,PUMA,12.07,BHD,,-42%
,crocs,19.81,BHD,,-21%
,PUMA,12.63,BHD,,-42%
,BIRKENSTOCK,21.52,BHD,,
,adidas Originals,15.6,BHD,,-43%
,adidas Originals,34.15,BHD,,-27%
,SKECHERS,13.09,BHD,,-21%
,Nike,25.95,BHD,,-59%
,Nike,21.06,BHD,,-22%
,Nike,35.17,BHD,,
